Question,text,type,difficulty,correct.shinyOutput,wrangling,coding,d.trees,sna,nlp,viz,n.nets,googleable,non.googleable,jitl,substantive,4050.2,4050.3,4050.4,4050.5,4050.6,4050.7,4051.1,4051.2,4051.3,4051.5,avg.correct,LMGT,PC1,PC2,PC3,PC4,PC5
20,What is the R code to remove whitespace from a corpus?,Coding,easy,"76% of students answered this question correctly                                        on last year's midterm",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.769230769,0,NA,0.141,NA,NA,0.326
21,In LDA topic modeling a topic is defined as:,Multiple Choice,medium,"38% of students answered this question correctly                                        on last year's midterm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.384615385,0,-0.282,NA,-0.165,-0.178,NA
22,What is a Term Frequency Inverse Document Frequency and what does it tell us about a corpus?,Free Form,easy,"69% of students answered this question correctly                                        on last year's midterm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.692307692,0,-0.165,NA,-0.212,NA,0.531
23,What is the R code to generate a Term Frequency Inverse Document Frequency from a Document Term Matrix named dtm?,Coding,medium,"50% of students answered this question correctly                                        on last year's midterm",0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0,NA,0.115,0.191,0.269,0.209
24,Describe three uses for NLP in educational settings,Free Form,easy,"76% of students answered this question correctly                                        on last year's midterm",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.769230769,0,0.154,NA,-0.342,-0.132,0.111
25,Describe a possible danger with the application of NLP to educational data,Free Form,easy,"80% of students answered this question correctly                                        on last year's midterm",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.807692308,0,0.316,0.15,NA,NA,0.178
26,"Referring to the data frame above, using the R package (library) ggplot2, what is the R code to generate a line graph where each students' score changes are visualized as their own line on a single panel?",Coding,medium,"50% of students answered this question correctly                                        on last year's midterm",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,NA,0.295,0.236,-0.153,-0.146
27,"In neural networks, what is the delta rule?",Free Form,easy,"73% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.730769231,0,NA,0.405,NA,NA,0.13
28,"In neural networks, what is the purpose of back-propagagtion?",Multiple Choice,medium,"61% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.615384615,0,-0.274,0.252,-0.101,NA,NA
29,What benefits do you believe artificial intelligence might bring to education?,Free Form,easy,"76% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.769230769,1,NA,0.365,NA,NA,NA
30,What dangers do you foresee with greater use of artificial intelligence in educational settings?,Free Form,medium,"65% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.653846154,1,NA,0.411,NA,NA,NA
